n,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,learner,seed,stop_quantile,round
13,0.15384615384615385,0.0,1.0,0.8461538461538461,0.6832568998690047,0.6584866941947451,-0.024770205674259582,0.25537359275098326,0.06647124800782067,0.12362952036444474,0.11538461538461539,static_initial,2,0.2,3
18,0.8888888888888888,,,0.1111111111111111,0.6667455793137351,0.6861046931026082,0.019359113788873117,0.02768239937318362,0.04497800720698269,0.06161380600976303,0.5232198142414861,oracle_all_endpoints,2,0.3,1
18,0.8888888888888888,,,0.1111111111111111,0.6667455793137351,0.6861046931026082,0.019359113788873117,0.02768239937318362,0.048577513828243234,0.06952797518997074,0.3787409700722394,completed_only,2,0.3,1
18,0.7222222222222222,,,0.2777777777777778,0.6667455793137351,0.6760927108386205,0.009347131524885421,0.02768239937318362,0.04466170209779541,0.0659705798028549,0.27554179566563464,static_initial,2,0.3,1
8,0.375,,,0.625,0.6470768098070929,0.6710151649681517,0.0239383551610588,0.0,0.05582692359958388,0.07101421906540295,0.5952380952380953,oracle_all_endpoints,2,0.3,2
8,0.375,,,0.625,0.6470768098070929,0.6714205217189486,0.024343711911855692,0.0,0.05281889324460723,0.07759058256333826,0.4761904761904762,completed_only,2,0.3,2
8,0.25,,,0.75,0.6470768098070929,0.6730477197159356,0.025970909908842654,0.0,0.059297973343631516,0.07682409260339826,0.7857142857142858,static_initial,2,0.3,2
13,0.5384615384615384,0.0,1.0,0.46153846153846156,0.6832568998690047,0.6476748241837728,-0.03558207568523197,0.25537359275098326,0.07224969888995861,0.12909991042013624,-0.03296703296703297,oracle_all_endpoints,2,0.3,3
13,0.3076923076923077,0.0,1.0,0.6923076923076923,0.6832568998690047,0.6539952109447076,-0.029261688924297147,0.25537359275098326,0.05583368368397702,0.11264001815593751,0.10989010989010989,completed_only,2,0.3,3
13,0.46153846153846156,0.0,1.0,0.5384615384615384,0.6832568998690047,0.6508749215909033,-0.03238197827810141,0.25537359275098326,0.06647124800782067,0.12362952036444474,0.11538461538461539,static_initial,2,0.3,3
18,0.8888888888888888,,,0.1111111111111111,0.6667455793137351,0.6861046931026082,0.019359113788873117,0.02768239937318362,0.04497800720698269,0.06161380600976303,0.5232198142414861,oracle_all_endpoints,2,0.4,1
18,0.8888888888888888,,,0.1111111111111111,0.6667455793137351,0.6861046931026082,0.019359113788873117,0.02768239937318362,0.048577513828243234,0.06952797518997074,0.3787409700722394,completed_only,2,0.4,1
18,0.8333333333333334,,,0.16666666666666666,0.6667455793137351,0.6796909368783544,0.012945357564619231,0.02768239937318362,0.04466170209779541,0.0659705798028549,0.27554179566563464,static_initial,2,0.4,1
8,0.5,,,0.5,0.6470768098070929,0.6684730287849723,0.021396218977879355,0.0,0.05582692359958388,0.07101421906540295,0.5952380952380953,oracle_all_endpoints,2,0.4,2
8,0.5,,,0.5,0.6470768098070929,0.6684730287849723,0.021396218977879355,0.0,0.05281889324460723,0.07759058256333826,0.4761904761904762,completed_only,2,0.4,2
8,0.375,,,0.625,0.6470768098070929,0.6714205217189486,0.024343711911855692,0.0,0.059297973343631516,0.07682409260339826,0.7857142857142858,static_initial,2,0.4,2
